point,source_index,status,trace,frequency_GHz,real,imag,magnitude
baseline,0,success,s_filter_head_from_readout_tail,6.0,-0.0051645598032106525,0.011269378966511426,0.01239643417486615
baseline,0,success,s_filter_head_from_readout_tail,6.5,-0.006071883084834362,0.012042600123744397,0.01348673355324803
baseline,0,success,s_filter_head_from_filter_head,5.5,-0.005056763778373458,0.012281760608838782,0.013282036875535837
baseline,0,success,s_filter_head_from_filter_head,6.0,-0.005938735779689102,0.013098014072340451,0.014381465686785475
baseline,0,success,s_filter_head_from_filter_head,6.5,-0.0068703544127573755,0.013843141954210035,0.015454266366324375
baseline,0,success,s_filter_head_from_filter_tail,5.5,0.8981826566498278,0.4337722481591247,0.9974419521854712
baseline,0,success,s_filter_head_from_filter_tail,6.0,0.8793682502347604,0.46980196345183195,0.9969966922633899
baseline,0,success,s_filter_head_from_filter_tail,6.5,0.8591057745624129,0.5049778417914343,0.9965266441931285
baseline,0,success,s_filter_tail_from_readout_head,5.5,-0.0043314551726088436,0.010456043321655426,0.011317700555177052
baseline,0,success,s_filter_tail_from_readout_head,6.0,-0.0051645598032108156,0.011269378966511341,0.01239643417486614
baseline,0,success,s_filter_tail_from_readout_head,6.5,-0.006071883084834553,0.012042600123744182,0.013486733553247924
baseline,0,success,s_filter_tail_from_readout_tail,5.5,0.03074052997409131,-0.06207264381038058,0.06926754862631118
baseline,0,success,s_filter_tail_from_readout_tail,6.0,0.0360707826595682,-0.06579465887290353,0.0750335824672896
baseline,0,success,s_filter_tail_from_readout_tail,6.5,0.041687660156423015,-0.0690579299524163,0.08066510211132355
baseline,0,success,s_filter_tail_from_filter_head,5.5,0.8981826566498277,0.4337722481591253,0.9974419521854713
baseline,0,success,s_filter_tail_from_filter_head,6.0,0.8793682502347605,0.4698019634518319,0.9969966922633899
baseline,0,success,s_filter_tail_from_filter_head,6.5,0.8591057745624131,0.5049778417914342,0.9965266441931288
baseline,0,success,s_filter_tail_from_filter_tail,5.5,-0.005056763778375419,0.012281760608837447,0.01328203687553535
baseline,0,success,s_filter_tail_from_filter_tail,6.0,-0.005938735779690127,0.013098014072340429,0.014381465686785878
baseline,0,success,s_filter_tail_from_filter_tail,6.5,-0.0068703544127561465,0.013843141954211022,0.015454266366324711
length_1p8_mm,1,success,s_readout_head_from_readout_head,5.5,-0.004323029806915509,0.009290733651590322,0.010247259072370172
length_1p8_mm,1,success,s_readout_head_from_readout_head,6.0,-0.005047086369593363,0.009834533221585529,0.011054009431360395
length_1p8_mm,1,success,s_readout_head_from_readout_head,6.5,-0.005802013298768672,0.01031061873094788,0.011830985459126461
length_1p8_mm,1,success,s_readout_head_from_readout_tail,5.5,0.8588948413684133,0.5060338800528319,0.996880452356548
length_1p8_mm,1,success,s_readout_head_from_readout_tail,6.0,0.8330654574276928,0.5465492738391866,0.996350422839953
length_1p8_mm,1,success,s_readout_head_from_readout_tail,6.5,0.805333451508177,0.5857020143926913,0.9957955702762137
length_1p8_mm,1,success,s_readout_head_from_filter_head,5.5,0.038145599073103525,-0.06707334813436308,0.07716165342059114
length_1p8_mm,1,success,s_readout_head_from_filter_head,6.0,0.04459119390925957,-0.07051063963092857,0.08342736286983943
length_1p8_mm,1,success,s_readout_head_from_filter_head,6.5,0.0513232662573217,-0.07332818462180886,0.0895047502608103
length_1p8_mm,1,success,s_readout_head_from_filter_tail,5.5,-0.0054960975490806994,0.011564268713151114,0.0128038821901397
length_1p8_mm,1,success,s_readout_head_from_filter_tail,6.0,-0.006553236022651354,0.01241263062846822,0.014036320795969387
length_1p8_mm,1,success,s_readout_head_from_filter_tail,6.5,-0.007703404402307033,0.013200868913521907,0.01528415452216682
length_1p8_mm,1,success,s_readout_tail_from_readout_head,5.5,0.8588948413684123,0.5060338800528317,0.996880452356547
length_1p8_mm,1,success,s_readout_tail_from_readout_head,6.0,0.833065457427693,0.5465492738391865,0.9963504228399531
length_1p8_mm,1,success,s_readout_tail_from_readout_head,6.5,0.8053334515081773,0.5857020143926917,0.9957955702762141
length_1p8_mm,1,success,s_readout_tail_from_readout_tail,5.5,-0.004323029806914932,0.009290733651590373,0.010247259072369974
length_1p8_mm,1,success,s_readout_tail_from_readout_tail,6.0,-0.005047086369592031,0.0098345332215864,0.011054009431360562
length_1p8_mm,1,success,s_readout_tail_from_readout_tail,6.5,-0.005802013298768741,0.010310618730948174,0.011830985459126753
length_1p8_mm,1,success,s_readout_tail_from_filter_head,5.5,-0.005496097549080527,0.01156426871315123,0.01280388219013973
length_1p8_mm,1,success,s_readout_tail_from_filter_head,6.0,-0.0065532360226514055,0.012412630628468094,0.0140363207959693
length_1p8_mm,1,success,s_readout_tail_from_filter_head,6.5,-0.007703404402307027,0.013200868913521898,0.015284154522166808
length_1p8_mm,1,success,s_readout_tail_from_filter_tail,5.5,0.038145599073103734,-0.06707334813436293,0.07716165342059111
length_1p8_mm,1,success,s_readout_tail_from_filter_tail,6.0,0.04459119390925985,-0.07051063963092839,0.08342736286983943
length_1p8_mm,1,success,s_readout_tail_from_filter_tail,6.5,0.05132326625732179,-0.07332818462180878,0.08950475026081028
length_1p8_mm,1,success,s_filter_head_from_readout_head,5.5,0.03814559907310373,-0.0670733481343634,0.07716165342059152
length_1p8_mm,1,success,s_filter_head_from_readout_head,6.0,0.04459119390925996,-0.07051063963092905,0.08342736286984004
length_1p8_mm,1,success,s_filter_head_from_readout_head,6.5,0.051323266257321115,-0.07332818462180828,0.08950475026080949
length_1p8_mm,1,success,s_filter_head_from_readout_tail,5.5,-0.0054960975490803005,0.011564268713150904,0.012803882190139339
length_1p8_mm,1,success,s_filter_head_from_readout_tail,6.0,-0.006553236022651162,0.012412630628467498,0.014036320795968659
length_1p8_mm,1,success,s_filter_head_from_readout_tail,6.5,-0.007703404402307419,0.013200868913522578,0.015284154522167593
length_1p8_mm,1,success,s_filter_head_from_filter_head,5.5,-0.006282213881462877,0.013386151872130029,0.014786996760538467
length_1p8_mm,1,success,s_filter_head_from_filter_head,6.0,-0.007352600952781721,0.014188228921150108,0.015980193387121665
length_1p8_mm,1,success,s_filter_head_from_filter_head,6.5,-0.00847464250021559,0.014894500602893362,0.017136677440975863
length_1p8_mm,1,success,s_filter_head_from_filter_tail,5.5,0.8719368456087856,0.48309593156534525,0.9968227233691996
length_1p8_mm,1,success,s_filter_head_from_filter_tail,6.0,0.8484446261575748,0.5222272104849748,0.9962828629594032
length_1p8_mm,1,success,s_filter_head_from_filter_tail,6.5,0.8232033247545438,0.5601695837652808,0.9957176690521781
length_1p8_mm,1,success,s_filter_tail_from_readout_head,5.5,-0.005496097549080507,0.011564268713150737,0.012803882190139277
length_1p8_mm,1,success,s_filter_tail_from_readout_head,6.0,-0.006553236022651039,0.01241263062846777,0.014036320795968843
length_1p8_mm,1,success,s_filter_tail_from_readout_head,6.5,-0.007703404402307559,0.013200868913522491,0.01528415452216759
length_1p8_mm,1,success,s_filter_tail_from_readout_tail,5.5,0.03814559907310386,-0.06707334813436332,0.0771616534205915
length_1p8_mm,1,success,s_filter_tail_from_readout_tail,6.0,0.04459119390926009,-0.07051063963092899,0.08342736286984007
length_1p8_mm,1,success,s_filter_tail_from_readout_tail,6.5,0.05132326625732149,-0.07332818462180805,0.08950475026080952
length_1p8_mm,1,success,s_filter_tail_from_filter_head,5.5,0.8719368456087864,0.4830959315653453,0.9968227233692004
length_1p8_mm,1,success,s_filter_tail_from_filter_head,6.0,0.8484446261575751,0.5222272104849746,0.9962828629594034
length_1p8_mm,1,success,s_filter_tail_from_filter_head,6.5,0.8232033247545437,0.5601695837652805,0.9957176690521778
length_1p8_mm,1,success,s_filter_tail_from_filter_tail,5.5,-0.006282213881461821,0.01338615187213077,0.01478699676053869
length_1p8_mm,1,success,s_filter_tail_from_filter_tail,6.0,-0.007352600952782497,0.014188228921149936,0.01598019338712187
length_1p8_mm,1,success,s_filter_tail_from_filter_tail,6.5,-0.008474642500214227,0.014894500602894245,0.017136677440975957
capacitance_times_170_over_175,2,success,s_readout_head_from_readout_head,5.5,-0.00042198482222642684,0.0026777492908783636,0.002710795539134047
capacitance_times_170_over_175,2,success,s_readout_head_from_readout_head,6.0,-0.0004991460136408834,0.0029050076778012633,0.002947578048333559
capacitance_times_170_over_175,2,success,s_readout_head_from_readout_head,6.5,-0.0005820879333466709,0.0031287325365687638,0.0031824194644219685
capacitance_times_170_over_175,2,success,s_readout_head_from_readout_tail,5.5,0.890955044363074,0.4487197697635731,0.9975722143547711
capacitance_times_170_over_175,2,success,s_readout_head_from_readout_tail,6.0,0.8708206209425347,0.48577436479978403,0.997148578375046
capacitance_times_170_over_175,2,success,s_readout_head_from_readout_tail,6.5,0.8491426952143099,0.5218904174461616,0.9967010206967539
capacitance_times_170_over_175,2,success,s_readout_head_from_filter_head,5.5,0.030047399620375108,-0.06155757789620881,0.06849950087697233
capacitance_times_170_over_175,2,success,s_readout_head_from_filter_head,6.0,0.03527097070998283,-0.06529882035823792,0.074215748429844
capacitance_times_170_over_175,2,success,s_readout_head_from_filter_head,6.5,0.040780234707985995,-0.0685958699459793,0.07980238665907262
capacitance_times_170_over_175,2,success,s_readout_head_from_filter_tail,5.5,-0.004985569883468969,0.010933027846079009,0.012016114386360167
capacitance_times_170_over_175,2,success,s_readout_head_from_filter_tail,6.0,-0.0059105046768881024,0.011719757963316925,0.013125806346821006
capacitance_times_170_over_175,2,success,s_readout_head_from_filter_tail,6.5,-0.006907153928171105,0.012452198261695033,0.014239593285484327
capacitance_times_170_over_175,2,success,s_readout_tail_from_readout_head,5.5,0.8909550443630736,0.4487197697635734,0.9975722143547708
capacitance_times_170_over_175,2,success,s_readout_tail_from_readout_head,6.0,0.8708206209425349,0.4857743647997839,0.9971485783750461
capacitance_times_170_over_175,2,success,s_readout_tail_from_readout_head,6.5,0.8491426952143097,0.5218904174461609,0.9967010206967535
capacitance_times_170_over_175,2,success,s_readout_tail_from_readout_tail,5.5,-0.00042198482222800934,0.0026777492908773848,0.0027107955391333263
capacitance_times_170_over_175,2,success,s_readout_tail_from_readout_tail,6.0,-0.0004991460136418789,0.0029050076778010226,0.0029475780483334906
capacitance_times_170_over_175,2,success,s_readout_tail_from_readout_tail,6.5,-0.0005820879333456538,0.0031287325365698965,0.003182419464422896
capacitance_times_170_over_175,2,success,s_readout_tail_from_filter_head,5.5,-0.0049855698834687994,0.010933027846079217,0.012016114386360287
capacitance_times_170_over_175,2,success,s_readout_tail_from_filter_head,6.0,-0.005910504676888042,0.011719757963316993,0.01312580634682104
capacitance_times_170_over_175,2,success,s_readout_tail_from_filter_head,6.5,-0.006907153928171209,0.01245219826169492,0.014239593285484279
capacitance_times_170_over_175,2,success,s_readout_tail_from_filter_tail,5.5,0.03004739962037523,-0.0615575778962088,0.06849950087697237
capacitance_times_170_over_175,2,success,s_readout_tail_from_filter_tail,6.0,0.0352709707099827,-0.06529882035823797,0.07421574842984399
capacitance_times_170_over_175,2,success,s_readout_tail_from_filter_tail,6.5,0.04078023470798613,-0.0685958699459791,0.07980238665907252
capacitance_times_170_over_175,2,success,s_filter_head_from_readout_head,5.5,0.030047399620374452,-0.06155757789620732,0.06849950087697071
capacitance_times_170_over_175,2,success,s_filter_head_from_readout_head,6.0,0.03527097070998506,-0.06529882035824214,0.07421574842984878
capacitance_times_170_over_175,2,success,s_filter_head_from_readout_head,6.5,0.04078023470798581,-0.06859586994597923,0.07980238665907247
capacitance_times_170_over_175,2,success,s_filter_head_from_readout_tail,5.5,-0.004985569883469575,0.010933027846080716,0.012016114386361973
capacitance_times_170_over_175,2,success,s_filter_head_from_readout_tail,6.0,-0.005910504676885672,0.011719757963312604,0.013125806346816054
capacitance_times_170_over_175,2,success,s_filter_head_from_readout_tail,6.5,-0.0069071539281711945,0.012452198261694983,0.014239593285484327
capacitance_times_170_over_175,2,success,s_filter_head_from_filter_head,5.5,-0.0022100842544261886,0.006585336358690921,0.006946303144029864
capacitance_times_170_over_175,2,success,s_filter_head_from_filter_head,6.0,-0.002602844271769792,0.0070654008827503055,0.007529587501122065
capacitance_times_170_over_175,2,success,s_filter_head_from_filter_head,6.5,-0.0030202798775742752,0.007516958617869942,0.008101034341468333
capacitance_times_170_over_175,2,success,s_filter_head_from_filter_tail,5.5,0.9011223798738247,0.42788619300183744,0.9975510702069701
capacitance_times_170_over_175,2,success,s_filter_head_from_filter_tail,6.0,0.8828345146866943,0.46352909033930356,0.997123862874053
capacitance_times_170_over_175,2,success,s_filter_head_from_filter_tail,6.5,0.8631333509419832,0.49835425217004964,0.9966725350707253
capacitance_times_170_over_175,2,success,s_filter_tail_from_readout_head,5.5,-0.004985569883469733,0.010933027846080445,0.012016114386361791
capacitance_times_170_over_175,2,success,s_filter_tail_from_readout_head,6.0,-0.005910504676885765,0.011719757963312552,0.013125806346816048
capacitance_times_170_over_175,2,success,s_filter_tail_from_readout_head,6.5,-0.0069071539281712006,0.012452198261695028,0.014239593285484369
capacitance_times_170_over_175,2,success,s_filter_tail_from_readout_tail,5.5,0.030047399620374164,-0.061557577896207374,0.06849950087697063
capacitance_times_170_over_175,2,success,s_filter_tail_from_readout_tail,6.0,0.03527097070998499,-0.06529882035824218,0.07421574842984878
capacitance_times_170_over_175,2,success,s_filter_tail_from_readout_tail,6.5,0.04078023470798622,-0.06859586994597905,0.07980238665907252
capacitance_times_170_over_175,2,success,s_filter_tail_from_filter_head,5.5,0.9011223798738247,0.42788619300183767,0.9975510702069702
capacitance_times_170_over_175,2,success,s_filter_tail_from_filter_head,6.0,0.8828345146866947,0.4635290903393037,0.9971238628740534
capacitance_times_170_over_175,2,success,s_filter_tail_from_filter_head,6.5,0.8631333509419825,0.49835425217004997,0.9966725350707248
capacitance_times_170_over_175,2,success,s_filter_tail_from_filter_tail,5.5,-0.0022100842544247237,0.006585336358691629,0.006946303144030068
capacitance_times_170_over_175,2,success,s_filter_tail_from_filter_tail,6.0,-0.002602844271770221,0.0070654008827501285,0.0075295875011220465
capacitance_times_170_over_175,2,success,s_filter_tail_from_filter_tail,6.5,-0.0030202798775732322,0.007516958617870031,0.008101034341468027
